Timestamp (UTC+07:00),Station Code,Value,Country Code,Parameter,Label,Unit,Observed or Estimated,Approval Level,Grade
1989-01-01 00:00:00+00:00,450701.0,67.8,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-02 00:00:00+00:00,450701.0,66.0,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-03 00:00:00+00:00,450701.0,70.4,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-04 00:00:00+00:00,450701.0,72.2,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-05 00:00:00+00:00,450701.0,72.2,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-06 00:00:00+00:00,450701.0,74.9,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-07 00:00:00+00:00,450701.0,71.3,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-08 00:00:00+00:00,450701.0,69.6,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-09 00:00:00+00:00,450701.0,66.9,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-10 00:00:00+00:00,450701.0,64.3,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-11 00:00:00+00:00,450701.0,62.7,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-12 00:00:00+00:00,450701.0,61.8,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-13 00:00:00+00:00,450701.0,61.0,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-14 00:00:00+00:00,450701.0,60.2,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-15 00:00:00+00:00,450701.0,59.4,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-16 00:00:00+00:00,450701.0,58.5,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-17 00:00:00+00:00,450701.0,58.5,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-18 00:00:00+00:00,450701.0,57.7,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-19 00:00:00+00:00,450701.0,57.7,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-20 00:00:00+00:00,450701.0,56.1,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-21 00:00:00+00:00,450701.0,57.7,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-22 00:00:00+00:00,450701.0,56.1,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-23 00:00:00+00:00,450701.0,54.4,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-24 00:00:00+00:00,450701.0,51.1,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-25 00:00:00+00:00,450701.0,49.5,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-26 00:00:00+00:00,450701.0,47.9,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-27 00:00:00+00:00,450701.0,46.2,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-28 00:00:00+00:00,450701.0,44.6,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-29 00:00:00+00:00,450701.0,43.8,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
1989-01-30 00:00:00+00:00,450701.0,42.9,VN,Discharge,Daily Discharge,m^3/s,O,Raw - Not Yet Reviewed,Unverified data
