Timestamp (UTC+07:00),Station Code,Value,Country Code,Parameter,Label,Unit,Observed or Estimated,Approval Level,Grade
1989-01-01 00:00:00+00:00,13901.0,1.11,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-02 00:00:00+00:00,13901.0,1.08,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-03 00:00:00+00:00,13901.0,1.06,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-04 00:00:00+00:00,13901.0,1.05,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-05 00:00:00+00:00,13901.0,1.04,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-06 00:00:00+00:00,13901.0,1.04,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-07 00:00:00+00:00,13901.0,1.02,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-08 00:00:00+00:00,13901.0,1.02,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-09 00:00:00+00:00,13901.0,1.02,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-10 00:00:00+00:00,13901.0,1.0,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-11 00:00:00+00:00,13901.0,0.97,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-12 00:00:00+00:00,13901.0,0.97,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-13 00:00:00+00:00,13901.0,0.95,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-14 00:00:00+00:00,13901.0,0.93,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-15 00:00:00+00:00,13901.0,0.9,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-16 00:00:00+00:00,13901.0,0.88,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-17 00:00:00+00:00,13901.0,0.87,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-18 00:00:00+00:00,13901.0,0.87,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-19 00:00:00+00:00,13901.0,0.87,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-20 00:00:00+00:00,13901.0,0.86,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-21 00:00:00+00:00,13901.0,0.85,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-22 00:00:00+00:00,13901.0,0.84,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-23 00:00:00+00:00,13901.0,0.83,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-24 00:00:00+00:00,13901.0,0.83,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-25 00:00:00+00:00,13901.0,0.8,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-26 00:00:00+00:00,13901.0,0.78,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-27 00:00:00+00:00,13901.0,0.76,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-28 00:00:00+00:00,13901.0,0.75,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-29 00:00:00+00:00,13901.0,0.74,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-30 00:00:00+00:00,13901.0,0.71,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-01-31 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-01 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-02 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-03 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-04 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-05 00:00:00+00:00,13901.0,0.73,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-06 00:00:00+00:00,13901.0,0.72,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-07 00:00:00+00:00,13901.0,0.72,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-08 00:00:00+00:00,13901.0,0.72,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-09 00:00:00+00:00,13901.0,0.71,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-10 00:00:00+00:00,13901.0,0.71,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-11 00:00:00+00:00,13901.0,0.69,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-12 00:00:00+00:00,13901.0,0.67,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-13 00:00:00+00:00,13901.0,0.66,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-14 00:00:00+00:00,13901.0,0.66,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
1989-02-15 00:00:00+00:00,13901.0,0.64,LA,Water Level,Manual,m,O,Raw - Not Yet Reviewed,Unverified data
